Time	Temperature
0.0	72.15
1.0	78.92
2.0	62.0
3.0	74.18
4.0	66.28
5.0	71.59
6.0	66.48
7.0	78.01
8.0	13.24
9.0	66.74
10.0	51.29
11.0	52.37
12.0	44.91
13.0	19.3
14.0	44.49
15.0	26.23
16.0	27.01
17.0	4.82
18.0	47.14
19.0	8.65
20.0	34.95
21.0	76.55
22.0	66.87
23.0	64.18
24.0	11.28
25.0	66.33
26.0	23.5
27.0	14.39
28.0	41.06
29.0	68.9
30.0	38.86
31.0	6.55
32.0	30.83
33.0	33.44
34.0	74.78
35.0	53.1
36.0	32.28
37.0	46.2
38.0	2.55
39.0	52.64
40.0	77.43
41.0	62.17
42.0	22.83
43.0	52.36
44.0	23.6
45.0	22.11
46.0	34.1
47.0	79.67
48.0	66.64
49.0	39.25
50.0	58.0
51.0	77.01
52.0	32.19
53.0	69.21
54.0	68.49
55.0	66.85
56.0	44.44
57.0	50.68
58.0	10.53
59.0	62.39
60.0	9.4
61.0	30.89
62.0	12.84
63.0	11.57
64.0	39.25
65.0	59.85
66.0	3.53
67.0	40.53
68.0	60.59
69.0	33.61
70.0	10.76
71.0	20.21
72.0	46.09
73.0	26.96
74.0	41.89
75.0	54.2
76.0	67.9
77.0	68.0
78.0	20.79
79.0	73.81
80.0	20.3
81.0	78.45
82.0	8.18
83.0	12.59
84.0	29.85
85.0	77.63
86.0	74.1
87.0	71.54
88.0	36.28
89.0	70.02
90.0	27.81
91.0	45.38
92.0	39.14
93.0	44.71
94.0	6.14
95.0	36.53
96.0	39.21
97.0	25.26
98.0	19.74
99.0	45.27
100.0	71.98
